filename,start_points,connection_points,branch_points
10__M_Left_index_finger.png,342,0,0
10__M_Left_index_finger.png,340,0,0
10__M_Left_index_finger.png,338,0,0
10__M_Left_index_finger.png,332,2,0
10__M_Left_index_finger.png,192,64,6
10__M_Left_index_finger.png,318,9,1
10__M_Left_index_finger.png,168,81,2
10__M_Left_index_finger.png,78,102,3
10__M_Left_index_finger.png,91,65,5
10__M_Left_index_finger.png,75,70,3
10__M_Left_index_finger.png,252,51,1
10__M_Left_index_finger.png,102,104,12
10__M_Left_index_finger.png,56,95,6
10__M_Left_index_finger.png,57,52,6
10__M_Left_index_finger.png,43,31,3
10__M_Left_index_finger.png,287,24,1
10__M_Left_index_finger.png,155,80,11
10__M_Left_index_finger.png,56,95,14
10__M_Left_index_finger.png,52,60,2
10__M_Left_index_finger.png,57,42,3
10__M_Left_index_finger.png,324,9,0
10__M_Left_index_finger.png,146,107,6
10__M_Left_index_finger.png,49,114,9
10__M_Left_index_finger.png,59,78,2
10__M_Left_index_finger.png,65,61,8
10__M_Left_little_finger.png,342,0,0
10__M_Left_little_finger.png,342,0,0
10__M_Left_little_finger.png,342,0,0
10__M_Left_little_finger.png,340,1,0
10__M_Left_little_finger.png,278,37,3
10__M_Left_little_finger.png,342,0,0
10__M_Left_little_finger.png,342,0,0
10__M_Left_little_finger.png,310,15,3
10__M_Left_little_finger.png,145,53,1
10__M_Left_little_finger.png,111,49,5
10__M_Left_little_finger.png,339,0,0
10__M_Left_little_finger.png,221,56,0
10__M_Left_little_finger.png,45,114,15
10__M_Left_little_finger.png,47,41,2
10__M_Left_little_finger.png,42,37,3
10__M_Left_little_finger.png,326,7,0
10__M_Left_little_finger.png,157,76,4
10__M_Left_little_finger.png,61,77,10
10__M_Left_little_finger.png,51,52,11
10__M_Left_little_finger.png,91,43,4
10__M_Left_little_finger.png,335,5,0
10__M_Left_little_finger.png,171,78,1
10__M_Left_little_finger.png,64,92,5
10__M_Left_little_finger.png,48,67,6
10__M_Left_little_finger.png,59,60,5
10__M_Left_middle_finger.png,336,3,0
10__M_Left_middle_finger.png,209,45,4
10__M_Left_middle_finger.png,60,103,2
10__M_Left_middle_finger.png,45,85,4
10__M_Left_middle_finger.png,54,32,2
10__M_Left_middle_finger.png,259,35,0
10__M_Left_middle_finger.png,131,80,3
10__M_Left_middle_finger.png,38,83,2
10__M_Left_middle_finger.png,35,29,1
10__M_Left_middle_finger.png,42,27,0
10__M_Left_middle_finger.png,256,31,1
10__M_Left_middle_finger.png,109,81,2
10__M_Left_middle_finger.png,55,78,4
10__M_Left_middle_finger.png,44,47,3
10__M_Left_middle_finger.png,34,24,0
10__M_Left_middle_finger.png,262,42,2
10__M_Left_middle_finger.png,101,102,3
10__M_Left_middle_finger.png,39,98,6
10__M_Left_middle_finger.png,52,53,7
10__M_Left_middle_finger.png,43,34,4
10__M_Left_middle_finger.png,334,3,0
10__M_Left_middle_finger.png,212,53,0
10__M_Left_middle_finger.png,102,86,2
10__M_Left_middle_finger.png,67,69,1
10__M_Left_middle_finger.png,61,51,3
10__M_Left_ring_finger.png,342,0,0
10__M_Left_ring_finger.png,291,22,1
10__M_Left_ring_finger.png,169,44,4
10__M_Left_ring_finger.png,136,72,5
10__M_Left_ring_finger.png,140,70,10
10__M_Left_ring_finger.png,312,15,0
