filename,start_points,connection_points,branch_points
10__M_Left_index_finger.png,100,0,0
10__M_Left_index_finger.png,100,0,0
10__M_Left_index_finger.png,100,0,0
10__M_Left_index_finger.png,100,0,0
10__M_Left_index_finger.png,100,0,0
10__M_Left_index_finger.png,100,0,0
10__M_Left_index_finger.png,96,3,0
10__M_Left_index_finger.png,83,12,0
10__M_Left_index_finger.png,59,15,3
10__M_Left_index_finger.png,100,0,0
10__M_Left_index_finger.png,100,0,0
10__M_Left_index_finger.png,99,0,0
10__M_Left_index_finger.png,78,13,0
10__M_Left_index_finger.png,96,0,0
10__M_Left_index_finger.png,78,13,0
10__M_Left_index_finger.png,88,2,0
10__M_Left_index_finger.png,89,4,0
10__M_Left_index_finger.png,32,32,3
10__M_Left_index_finger.png,100,0,0
10__M_Left_index_finger.png,80,8,1
10__M_Left_index_finger.png,40,35,0
10__M_Left_index_finger.png,41,20,4
10__M_Left_index_finger.png,26,34,0
10__M_Left_index_finger.png,21,29,1
10__M_Left_index_finger.png,23,17,1
10__M_Left_index_finger.png,29,23,2
10__M_Left_index_finger.png,27,16,1
10__M_Left_index_finger.png,97,1,0
10__M_Left_index_finger.png,71,16,0
10__M_Left_index_finger.png,40,31,2
10__M_Left_index_finger.png,33,21,1
10__M_Left_index_finger.png,22,24,0
10__M_Left_index_finger.png,24,15,1
10__M_Left_index_finger.png,17,10,1
10__M_Left_index_finger.png,18,18,0
10__M_Left_index_finger.png,19,9,0
10__M_Left_index_finger.png,95,3,0
10__M_Left_index_finger.png,51,29,1
10__M_Left_index_finger.png,39,27,3
10__M_Left_index_finger.png,30,27,2
10__M_Left_index_finger.png,19,31,3
10__M_Left_index_finger.png,13,20,3
10__M_Left_index_finger.png,21,19,1
10__M_Left_index_finger.png,22,14,1
10__M_Left_index_finger.png,12,10,2
10__M_Left_index_finger.png,87,9,0
10__M_Left_index_finger.png,60,21,0
10__M_Left_index_finger.png,41,28,3
10__M_Left_index_finger.png,26,30,6
10__M_Left_index_finger.png,22,22,1
10__M_Left_index_finger.png,18,17,1
10__M_Left_index_finger.png,11,16,0
10__M_Left_index_finger.png,17,11,0
10__M_Left_index_finger.png,13,9,1
10__M_Left_index_finger.png,92,4,0
10__M_Left_index_finger.png,66,18,1
10__M_Left_index_finger.png,61,24,0
10__M_Left_index_finger.png,26,32,3
10__M_Left_index_finger.png,14,29,2
10__M_Left_index_finger.png,28,19,2
10__M_Left_index_finger.png,15,17,1
10__M_Left_index_finger.png,15,21,1
10__M_Left_index_finger.png,15,9,0
10__M_Left_index_finger.png,99,0,0
10__M_Left_index_finger.png,67,22,1
