filename,start_points,connection_points,branch_points
10__M_Left_index_finger.png,3967,1455,112
10__M_Left_little_finger.png,4884,1014,91
10__M_Left_middle_finger.png,2902,1443,65
10__M_Left_ring_finger.png,3179,1388,81
10__M_Left_thumb_finger.png,4336,1177,69
11__M_Left_index_finger.png,2808,1782,30
11__M_Left_little_finger.png,4554,1419,46
11__M_Left_middle_finger.png,3668,951,17
11__M_Left_ring_finger.png,3946,1525,40
11__M_Left_thumb_finger.png,3551,1620,88
12__M_Left_index_finger.png,4089,982,21
12__M_Left_little_finger.png,4265,1220,207
12__M_Left_middle_finger.png,2765,980,71
12__M_Left_ring_finger.png,3574,1082,55
12__M_Left_thumb_finger.png,3120,1586,53
17__M_Left_index_finger.png,4304,726,25
17__M_Left_little_finger.png,4108,501,32
17__M_Left_middle_finger.png,3910,731,12
17__M_Left_ring_finger.png,4049,349,9
17__M_Left_thumb_finger.png,4373,1169,31
1__M_Left_index_finger.png,3418,927,30
1__M_Left_little_finger.png,4427,819,32
1__M_Left_middle_finger.png,2744,1387,56
1__M_Left_ring_finger.png,3504,1452,86
1__M_Left_thumb_finger.png,3155,1666,77
200__M_Left_index_finger.png,4487,880,42
200__M_Left_little_finger.png,4950,489,31
200__M_Left_middle_finger.png,3727,949,31
200__M_Left_ring_finger.png,4312,580,39
200__M_Left_thumb_finger.png,4331,1359,20
202__M_Left_index_finger.png,4177,611,17
202__M_Left_little_finger.png,4659,961,32
202__M_Left_middle_finger.png,3399,835,22
202__M_Left_ring_finger.png,3961,757,32
202__M_Left_thumb_finger.png,3105,1311,34
204__F_Left_index_finger.png,3523,1405,36
204__F_Left_little_finger.png,5327,434,54
204__F_Left_middle_finger.png,3403,1220,69
204__F_Left_ring_finger.png,3196,1100,64
204__F_Left_thumb_finger.png,2805,984,42
206__M_Left_index_finger.png,3111,1020,17
206__M_Left_little_finger.png,3609,853,23
206__M_Left_middle_finger.png,2646,1371,77
206__M_Left_ring_finger.png,2857,1414,28
206__M_Left_thumb_finger.png,2853,1461,52
208__M_Left_index_finger.png,3225,1367,76
208__M_Left_little_finger.png,3775,1720,411
208__M_Left_middle_finger.png,2882,1997,193
208__M_Left_ring_finger.png,3054,1984,187
208__M_Left_thumb_finger.png,2586,1944,248
216__M_Left_index_finger.png,3344,1540,36
216__M_Left_little_finger.png,3805,1819,227
216__M_Left_middle_finger.png,2679,1484,75
216__M_Left_ring_finger.png,2454,1355,87
216__M_Left_thumb_finger.png,3208,1584,38
21__M_Left_index_finger.png,4151,1302,24
21__M_Left_little_finger.png,4012,980,35
21__M_Left_middle_finger.png,3704,1463,22
21__M_Left_ring_finger.png,4195,1139,35
21__M_Left_thumb_finger.png,3962,1383,61
221__M_Left_index_finger.png,3598,538,27
221__M_Left_little_finger.png,5491,602,28
221__M_Left_middle_finger.png,3600,793,38
221__M_Left_ring_finger.png,4017,630,42
221__M_Left_thumb_finger.png,2999,1673,45
291__M_Left_index_finger.png,4020,887,12
291__M_Left_little_finger.png,4896,776,43
291__M_Left_middle_finger.png,3778,1185,54
291__M_Left_ring_finger.png,3865,1105,57
291__M_Left_thumb_finger.png,3128,1673,55
400__M_Left_index_finger.png,3437,1561,120
400__M_Left_little_finger.png,4820,1235,143
400__M_Left_middle_finger.png,4370,1424,97
400__M_Left_ring_finger.png,4244,1328,158
400__M_Left_thumb_finger.png,3608,2010,218
408__M_Left_index_finger.png,3353,1728,57
408__M_Left_little_finger.png,4197,1681,101
408__M_Left_middle_finger.png,3565,1615,74
408__M_Left_ring_finger.png,4207,1605,90
408__M_Left_thumb_finger.png,3681,1597,52
413__M_Left_index_finger.png,3671,1090,63
413__M_Left_little_finger.png,4876,664,28
413__M_Left_middle_finger.png,3270,1443,106
413__M_Left_ring_finger.png,4037,1307,55
413__M_Left_thumb_finger.png,4099,1487,42
448__M_Left_index_finger.png,2807,929,12
448__M_Left_little_finger.png,3066,1289,30
448__M_Left_middle_finger.png,2232,1584,13
448__M_Left_ring_finger.png,3494,1100,17
448__M_Left_thumb_finger.png,2750,789,23
4__M_Left_index_finger.png,3855,1669,43
4__M_Left_little_finger.png,4203,1122,96
4__M_Left_middle_finger.png,4790,1442,67
4__M_Left_ring_finger.png,3658,1604,54
4__M_Left_thumb_finger.png,5095,1127,45
528__F_Left_index_finger.png,3926,1683,100
528__F_Left_little_finger.png,4787,1153,100
528__F_Left_middle_finger.png,3915,1666,105
528__F_Left_ring_finger.png,4246,1638,135
528__F_Left_thumb_finger.png,3589,1681,89
565__M_Left_index_finger.png,3266,1060,24
565__M_Left_little_finger.png,4648,1554,139
565__M_Left_middle_finger.png,3642,1498,63
565__M_Left_ring_finger.png,3064,1790,103
565__M_Left_thumb_finger.png,2343,1957,29
566__M_Left_index_finger.png,3882,1213,49
566__M_Left_little_finger.png,5078,1371,145
566__M_Left_middle_finger.png,3313,1847,103
566__M_Left_ring_finger.png,3895,1488,144
566__M_Left_thumb_finger.png,4129,1469,45
578__M_Left_index_finger.png,4439,1308,80
578__M_Left_little_finger.png,5297,1393,150
578__M_Left_middle_finger.png,3827,1704,102
578__M_Left_ring_finger.png,4217,1399,77
578__M_Left_thumb_finger.png,4193,1411,74
8__M_Left_index_finger.png,3547,1467,59
8__M_Left_little_finger.png,5068,921,44
8__M_Left_middle_finger.png,2676,1747,106
8__M_Left_ring_finger.png,3555,810,35
8__M_Left_thumb_finger.png,2099,2006,86
